Country,Total,DA,GHP- USAID,GHP- STATE,ESF,AEECA,INCLE,NADR,IMET,FMF,PKO,IO&P,FFP,IDA,Other*,Fiscal Year
TOTAL,"34,878,357","2,519,950","2,498,000","5,334,310","5,931,714","695,740","1,593,806","738,520","105,788","5,374,230","304,390","351,290","1,497,000","863,270","7,070,349",2011
Africa,"7,915,306","987,337","1,265,573","3,646,673","503,540",-,"61,368","42,600","16,110","19,098","159,650",-,"1,213,357",-,-,2011
Angola,"60,871","2,300","40,353","10,300",-,-,-,"7,500",418,-,-,-,-,-,-,2011
Benin,"30,990","2,557","28,197",-,-,-,-,-,236,-,-,-,-,-,-,2011
Botswana,"75,467",-,-,"74,443",-,-,-,-,685,339,-,-,-,-,-,2011
Burkina Faso,"17,886",-,"5,988",-,-,-,-,-,246,-,-,-,"11,652",-,-,2011
Burundi,"56,980","2,736","11,544","15,000",-,-,-,-,352,-,-,-,"27,348",-,-,2011
Cameroon,"24,965",-,"1,500","21,250",-,-,-,-,285,-,-,-,"1,930",-,-,2011
Cape Verde,123,-,-,-,-,-,-,-,123,-,-,-,-,-,-,2011
Central African Republic,"6,775",-,-,-,-,-,-,-,-,-,-,-,"6,775",-,-,2011
Chad,"90,354",-,-,-,-,-,-,-,391,399,-,-,"89,564",-,-,2011
Comoros,125,-,-,-,-,-,-,-,125,-,-,-,-,-,-,2011
Cote d'Ivoire,"112,827",-,-,"93,305","14,715",-,-,-,89,-,-,-,"4,718",-,-,2011
Democratic Republic of the Congo,"268,166",-,"86,046","39,635","45,915",-,"6,000","1,000",500,300,"21,520",-,"67,250",-,-,2011
Djibouti,"13,391","4,000",400,"1,800",-,-,-,-,372,"1,996",-,-,"4,823",-,-,2011
Ethiopia,"778,670","77,782","106,482","289,089",-,-,-,-,650,-,-,-,"304,667",-,-,2011
Gabon,448,-,-,-,-,-,-,-,248,200,-,-,-,-,-,2011
Ghana,"165,885","92,568","62,543","9,000",-,-,500,-,825,449,-,-,-,-,-,2011
Guinea,"25,017","7,000","17,469",-,-,-,500,-,48,-,-,-,-,-,-,2011
Guinea-Bissau,10,-,-,-,-,-,-,-,10,-,-,-,-,-,-,2011
Kenya,"786,621","75,813","75,345","498,760",-,-,"2,000","8,000",929,998,-,-,"124,776",-,-,2011
Lesotho,"33,236",-,"6,400","26,650",-,-,-,-,186,-,-,-,-,-,-,2011
Liberia,"215,814",-,"32,340","2,800","124,532",-,"16,000",-,522,"7,173","5,000",-,"27,447",-,-,2011
Madagascar,"77,579","1,350","52,797",500,-,-,-,-,-,-,-,-,"22,932",-,-,2011
Malawi,"172,571","37,000","67,995","46,448",-,-,-,-,400,-,-,-,"20,728",-,-,2011
Mali,"137,906","71,143","54,597","1,500",-,-,-,-,397,200,-,-,"10,069",-,-,2011
Mauritania,"5,442",-,-,-,-,-,-,-,184,200,-,-,"5,058",-,-,2011
Mauritius,155,-,-,-,-,-,-,-,155,-,-,-,-,-,-,2011
Mozambique,"387,143","39,165","62,674","261,953",-,-,500,"2,000",402,-,-,-,"20,449",-,-,2011
Namibia,"103,272",-,"1,946","101,122",-,-,-,-,204,-,-,-,-,-,-,2011
Niger,"52,045","2,500",-,-,-,-,-,-,66,-,-,-,"49,479",-,-,2011
Nigeria,"632,464","55,791","101,971","471,227",-,-,"1,250",-,"1,013","1,212",-,-,-,-,-,2011
Republic of the Congo,123,-,-,-,-,-,-,-,123,-,-,-,-,-,-,2011
Rwanda,"207,886","49,482","42,415","109,072",-,-,-,-,559,300,-,-,"6,058",-,-,2011
Sao Tome and Principe,180,-,-,-,-,-,-,-,180,-,-,-,-,-,-,2011
Senegal,"98,813","44,600","51,253","1,535",-,-,-,-,"1,026",399,-,-,-,-,-,2011
Seychelles,94,-,-,-,-,-,-,-,94,-,-,-,-,-,-,2011
Sierra Leone,"19,302",-,-,500,"6,500",-,-,-,394,-,-,-,"11,908",-,-,2011
Somalia,"144,963",-,"1,547",-,"19,627",-,-,"2,000",-,-,"75,300",-,"46,489",-,-,2011
South Africa,"571,440","15,734","15,469","535,319",-,-,"2,000","1,300",820,798,-,-,-,-,-,2011
South Sudan,"395,382",-,"34,848","12,036","223,431",-,"25,000","2,800",763,-,"41,870",-,"54,634",-,-,2011
Sudan,"238,626",-,-,-,"26,393",-,"2,000","1,100",-,-,-,-,"209,133",-,-,2011
