Country,Total,DA,GHP-USAID,GHP-STATE,ESF,AEECA,INCLE,NADR,IMET,FMF,PKO,IO&P,P.L. 480,IDA,Other**,Fiscal Year
TOTAL,"34,665,580","2,519,950","2,629,800","5,542,860","2,994,745","626,718","1,061,100","590,113","105,788","5,210,000","302,818","343,905","1,466,000","825,000","10,446,783",2012
Africa,"7,620,384","1,002,140","1,375,577","2,993,255","607,731",-,"85,900","35,500","15,207","16,818","182,968",-,"1,305,288",-,-,2012
Angola,"59,735","1,000","40,500","10,300",-,-,-,"7,500",435,-,-,-,-,-,-,2012
Benin,"28,630",-,"28,400",-,-,-,-,-,230,-,-,-,-,-,-,2012
Botswana,"66,979",-,-,"66,000",-,-,-,-,779,200,-,-,-,-,-,2012
Burkina Faso,"35,117",-,"9,000",-,-,-,-,-,308,-,-,-,"25,809",-,-,2012
Burundi,"41,385",-,"16,560","5,000",-,-,-,-,420,-,-,-,"19,405",-,-,2012
Cameroon,"13,972",-,"1,500","11,250",-,-,-,-,270,-,-,-,952,-,-,2012
Cape Verde,108,-,-,-,-,-,-,-,108,-,-,-,-,-,-,2012
Central African Republic,"10,143",-,-,-,-,-,-,-,115,-,-,-,"10,028",-,-,2012
Chad,"85,001",-,-,-,-,-,-,-,375,200,-,-,"84,426",-,-,2012
Comoros,127,-,-,-,-,-,-,-,127,-,-,-,-,-,-,2012
Cote d'Ivoire,"150,688",-,-,"118,305","14,715",-,-,-,66,300,-,-,"17,302",-,-,2012
Democratic Republic of the Congo,"254,353",-,"97,850","13,770","47,915",-,"6,000","1,000",473,-,"19,000",-,"68,345",-,-,2012
Djibouti,"7,663","1,650",-,"1,800",-,-,-,-,363,"1,500",-,-,"2,350",-,-,2012
Ethiopia,"706,716","92,898","120,500","181,241",-,-,-,-,597,843,"4,000",-,"306,637",-,-,2012
Gabon,212,-,-,-,-,-,-,-,212,-,-,-,-,-,-,2012
Ghana,"172,677","95,568","67,000","9,000",-,-,-,-,759,350,-,-,-,-,-,2012
Guinea,"23,657","5,700","17,500",-,-,-,-,-,57,400,-,-,-,-,-,2012
Kenya,"499,425","92,000","78,150","241,512","4,750",-,"2,000","1,150",910,"1,500",-,-,"77,453",-,-,2012
Lesotho,"15,750",-,"6,400","9,235",-,-,-,-,115,-,-,-,-,-,-,2012
Liberia,"209,772",-,"30,700",800,"124,276",-,"17,000",-,489,"6,500","5,000",-,"25,007",-,-,2012
