Country,All Accounts,DA,GHP-USAID,GHP-STATE,ESF,INCLE,NADR,IMET,FMF,PKO,IO&P,P.L. 480,IDA,Other**,Fiscal Year
TOTAL,"35,170,285","2,717,671","2,626,059","5,439,829","5,867,473","1,858,678","674,862","100,432","5,667,331","490,197","326,651","1,359,358","1,550,395","6,491,349",2013
Africa,"7,826,150","1,170,113","1,419,284","3,173,623","501,442","88,240","46,598","13,602","15,775","333,884",-,"1,063,589",-,-,2013
Angola,"53,676",-,"38,266","7,291",-,-,"6,000",488,-,-,-,"1,631",-,-,2013
Benin,"23,707",-,"23,466",-,-,-,-,241,-,-,-,-,-,-,2013
Botswana,"55,002",-,-,"54,269",-,-,-,543,190,-,-,-,-,-,2013
Burkina Faso,"16,016",-,"9,421",-,-,-,-,223,-,-,-,"6,372",-,-,2013
Burundi,"53,260",-,"17,740","15,360",-,-,-,357,500,-,-,"19,303",-,-,2013
Cabo Verde,92,-,-,-,-,-,-,92,-,-,-,-,-,-,2013
Cameroon,"25,562",-,"1,500","23,825",-,-,-,237,-,-,-,-,-,-,2013
Central African Republic,"32,232",-,-,-,-,-,-,-,-,"23,400",-,"8,832",-,-,2013
Chad,"58,026",-,-,-,-,-,-,300,-,-,-,"57,726",-,-,2013
Comoros,122,-,-,-,-,-,-,122,-,-,-,-,-,-,2013
Cote d'Ivoire,"156,781",-,-,"134,769","9,748",-,-,244,109,500,-,"11,411",-,-,2013
Democratic Republic of the Congo,"322,925","7,930","114,616","34,754","64,341","5,996","1,000",324,-,"12,000",-,"81,964",-,-,2013
Djibouti,"8,753","1,911",-,"1,800",-,-,-,470,949,-,-,"3,623",-,-,2013
Ethiopia,"619,606","94,490","131,546","156,792",-,-,-,541,799,-,-,"235,438",-,-,2013
Gabon,341,-,-,-,-,-,-,341,-,-,-,-,-,-,2013
Ghana,"154,629","85,309","61,567","6,670",-,-,100,651,332,-,-,-,-,-,2013
Guinea,"20,352","2,003","17,880",-,-,-,-,279,190,-,-,-,-,-,2013
Kenya,"557,498","97,211","78,324","269,585","5,844","4,996","6,467",721,"1,041",-,-,"93,309",-,-,2013
Lesotho,"33,165",-,"6,400","26,765",-,-,-,-,-,-,-,-,-,-,2013
Liberia,"190,055","50,078","33,112",800,"65,191","16,250",-,487,"4,421","2,000",-,"17,716",-,-,2013
Madagascar,"58,039",-,"48,640",-,-,-,-,-,-,-,-,"9,399",-,-,2013
Malawi,"203,482","49,747","69,493","58,013",-,-,-,266,-,-,-,"25,963",-,-,2013
Mali,"132,056","39,173","56,679","1,352",-,-,-,-,-,"19,908",-,"14,944",-,-,2013
Mauritania,"8,757","1,907",-,-,-,-,-,309,-,-,-,"6,541",-,-,2013
Mauritius,94,-,-,-,-,-,-,94,-,-,-,-,-,-,2013
Mozambique,"381,753","56,667","63,965","257,100",-,598,"3,000",423,-,-,-,-,-,-,2013
Namibia,"32,239",-,-,"32,126",-,-,-,113,-,-,-,-,-,-,2013
Niger,"32,100",955,-,-,-,-,-,273,-,-,-,"30,872",-,-,2013
Nigeria,"699,778","76,920","165,451","455,746",-,-,-,712,949,-,-,-,-,-,2013
Republic of the Congo,38,-,-,-,-,-,-,38,-,-,-,-,-,-,2013
Rwanda,"203,583","61,912","42,397","92,100",-,-,-,282,-,-,-,"6,892",-,-,2013
Sao Tome and Principe,253,-,-,-,-,-,-,253,-,-,-,-,-,-,2013
Senegal,"105,061","47,756","54,757","1,538",-,-,-,717,293,-,-,-,-,-,2013
Seychelles,132,-,-,-,-,-,-,132,-,-,-,-,-,-,2013
Sierra Leone,"13,297",-,-,500,"2,981",-,-,343,-,-,-,"9,473",-,-,2013
Somalia,"319,576","4,777",-,-,"14,277","2,095","4,800",-,-,"228,876",-,"64,751",-,-,2013
South Africa,"513,552","16,475","12,009","477,335",-,"6,155",300,613,665,-,-,-,-,-,2013
South Sudan,"556,862",-,"38,541","13,689","284,761","28,882","3,000",759,-,"25,200",-,"162,030",-,-,2013
Sudan,"153,178",-,-,-,"10,708",-,-,-,-,-,-,"142,470",-,-,2013
Swaziland,"26,144",-,"6,900","19,154",-,-,-,90,-,-,-,-,-,-,2013
Tanzania,"565,858","122,550","96,084","340,670",-,448,200,356,-,-,-,"5,550",-,-,2013
The Gambia,82,-,-,-,-,-,-,82,-,-,-,-,-,-,2013
Togo,155,-,-,-,-,-,-,155,-,-,-,-,-,-,2013
Uganda,"487,249","67,512","84,955","316,140",-,598,-,536,190,-,-,"17,318",-,-,2013
Zambia,"395,373","36,784","56,969","301,225",-,-,-,395,-,-,-,-,-,-,2013
Zimbabwe,"161,909",-,"42,550","71,855","16,943",-,500,-,-,-,-,"30,061",-,-,2013
African Union,733,-,-,-,733,-,-,-,-,-,-,-,-,-,2013
State Africa Regional (AF),"90,693",-,-,-,"20,093","22,222","21,231",-,"5,147","22,000",-,-,-,-,2013
USAID Africa Regional (AFR),"101,826","86,026","15,800",-,-,-,-,-,-,-,-,-,-,-,2013
USAID Central Africa Regional,"30,679","30,679",-,-,-,-,-,-,-,-,-,-,-,-,2013
USAID East Africa Regional,"56,958","40,971","9,365",800,"5,822",-,-,-,-,-,-,-,-,-,2013
USAID Sahel Regional Program,"7,576","5,064","2,512",-,-,-,-,-,-,-,-,-,-,-,2013
USAID Southern Africa Regional,"26,118","22,518","2,000","1,600",-,-,-,-,-,-,-,-,-,-,2013
USAID West Africa Regional,"79,167","62,788","16,379",-,-,-,-,-,-,-,-,-,-,-,2013
East Asia and Pacific,"741,127","275,442","134,024","87,556","114,466","25,050","40,283","8,522","53,316",-,-,"2,468",-,-,2013
Burma,"61,885",-,"11,848","9,000","41,037",-,-,-,-,-,-,-,-,-,2013
Cambodia,"77,355","27,087","32,214","4,745","6,751",-,"5,700",383,475,-,-,-,-,-,2013
China,"13,924",-,-,"2,977","10,124",823,-,-,-,-,-,-,-,-,2013
Indonesia,"166,955","89,046","41,264",250,"5,883","10,049","5,511","1,660","13,292",-,-,-,-,-,2013
Laos,"11,290","1,290",-,-,-,"1,000","9,000",-,-,-,-,-,-,-,2013
Malaysia,"3,227",-,-,-,-,800,"1,460",967,-,-,-,-,-,-,2013
Marshall Islands,483,470,-,-,-,-,-,13,-,-,-,-,-,-,2013
Micronesia,470,470,-,-,-,-,-,-,-,-,-,-,-,-,2013
Mongolia,"9,212","5,159",-,-,-,-,250,755,"3,048",-,-,-,-,-,2013
Papua New Guinea,"4,853",-,"2,500","2,353",-,-,-,-,-,-,-,-,-,-,2013
Philippines,"175,571","85,755","32,810",-,"15,500","2,996","8,945","1,614","25,483",-,-,"2,468",-,-,2013
Samoa,37,-,-,-,-,-,-,37,-,-,-,-,-,-,2013
Singapore,250,-,-,-,-,-,250,-,-,-,-,-,-,-,2013
Thailand,"10,461","4,826",-,-,-,"1,740","1,152","1,319","1,424",-,-,-,-,-,2013
Timor-Leste,"13,324","10,032","2,013",-,-,800,-,379,100,-,-,-,-,-,2013
Vietnam,"113,281","17,198",-,"65,676","14,462",450,"5,100",901,"9,494",-,-,-,-,-,2013
State East Asia and Pacific Regional,"23,761",-,-,-,"13,960","6,392","2,915",494,-,-,-,-,-,-,2013
USAID Regional Development Mission-Asia,,,,,,,,,,,,,,,2013
(RDM/A),"54,788","34,109","11,375","2,555","6,749",-,-,-,-,-,-,-,-,-,2013
Europe and Eurasia,"600,182",-,"14,392","11,863","368,552","53,703","26,063","28,772","96,837",-,-,-,-,-,2013
Albania,"21,578",-,-,-,"10,378","4,445","2,924",983,"2,848",-,-,-,-,-,2013
Armenia,"37,129",-,"2,386",-,"27,026","3,009","1,464",680,"2,564",-,-,-,-,-,2013
Azerbaijan,"16,206",-,-,-,"11,029","1,262",775,576,"2,564",-,-,-,-,-,2013
Belarus,"11,001",-,-,-,"11,001",-,-,-,-,-,-,-,-,-,2013
Bosnia and Herzegovina,"46,690",-,-,-,"28,416","7,535","5,595",872,"4,272",-,-,-,-,-,2013
Bulgaria,"9,652",-,-,-,-,-,250,"1,996","7,406",-,-,-,-,-,2013
Croatia,"4,797",-,-,-,-,-,"1,399","1,024","2,374",-,-,-,-,-,2013
Cyprus,"2,925",-,-,-,"2,925",-,-,-,-,-,-,-,-,-,2013
Czech Republic,"6,499",-,-,-,-,-,-,"1,752","4,747",-,-,-,-,-,2013
Estonia,"3,413",-,-,-,-,-,-,"1,134","2,279",-,-,-,-,-,2013
Georgia,"69,968",-,"3,664",-,"42,468","5,565","2,800","1,799","13,672",-,-,-,-,-,2013
Greece,93,-,-,-,-,-,-,93,-,-,-,-,-,-,2013
Hungary,"1,898",-,-,-,-,-,-,"1,044",854,-,-,-,-,-,2013
Kosovo,"62,419",-,-,-,"46,151","11,751",850,819,"2,848",-,-,-,-,-,2013
Latvia,"3,285",-,-,-,-,-,-,"1,151","2,134",-,-,-,-,-,2013
Lithuania,"3,560",-,-,-,-,-,-,"1,140","2,420",-,-,-,-,-,2013
Macedonia,"16,970",-,-,-,"10,187","1,893",470,"1,002","3,418",-,-,-,-,-,2013
Malta,152,-,-,-,-,-,-,152,-,-,-,-,-,-,2013
Moldova,"21,855",-,-,-,"16,481","3,062",400,725,"1,187",-,-,-,-,-,2013
Montenegro,"4,862",-,-,-,823,"1,831",500,569,"1,139",-,-,-,-,-,2013
Poland,"26,777",-,-,-,"5,893",-,-,"1,895","18,989",-,-,-,-,-,2013
Portugal,93,-,-,-,-,-,-,93,-,-,-,-,-,-,2013
Romania,"13,005",-,-,-,-,-,-,"1,614","11,391",-,-,-,-,-,2013
Serbia,"31,022",-,-,-,"22,271","3,517","2,650",875,"1,709",-,-,-,-,-,2013
Slovakia,"1,895",-,-,-,-,-,-,946,949,-,-,-,-,-,2013
Slovenia,"1,039",-,-,-,-,-,-,612,427,-,-,-,-,-,2013
Turkey,"4,265",-,-,-,-,-,850,"3,415",-,-,-,-,-,-,2013
Ukraine,"92,391",-,"7,724","11,863","56,939","4,408","3,000","1,811","6,646",-,-,-,-,-,2013
Europe and Eurasia Regional,"66,208",-,618,-,"58,029","5,425","2,136",-,-,-,-,-,-,-,2013
International Fund for Ireland,"2,090",-,-,-,"2,090",-,-,-,-,-,-,-,-,-,2013
Organization for Security and Cooperation in,,,,,,,,,,,,,,,2013
Europe (OSCE),"16,445",-,-,-,"16,445",-,-,-,-,-,-,-,-,-,2013
Near East,"7,178,270","25,032","8,345",-,"1,710,634","122,304","66,335","16,641","5,073,106","65,213",-,"75,660",-,"15,000",2013
Algeria,"9,107",-,-,-,-,-,"1,250","1,259",-,-,-,"6,598",-,-,2013
Bahrain,"13,489",-,-,-,-,-,427,487,"12,575",-,-,-,-,-,2013
Egypt,"1,484,215",-,-,-,"241,032","5,001","3,449",474,"1,234,259",-,-,-,-,-,2013
Iraq,"589,379",-,-,-,"72,333","13,499","31,111","1,116","471,320",-,-,-,-,-,2013
Israel,"2,943,234",-,-,-,-,-,-,-,"2,943,234",-,-,-,-,-,2013
Jordan,"861,357",-,-,-,"564,404",-,"8,000","3,608","284,829",-,-,516,-,-,2013
Lebanon,"176,014",-,-,-,"81,203","15,460","5,295","2,849","71,207",-,-,-,-,-,2013
Libya,"22,528",-,-,-,"5,000",-,"1,437",142,949,-,-,-,-,"15,000",2013
Morocco,"31,105","16,720",-,-,"1,929","1,500","1,684","1,677","7,595",-,-,-,-,-,2013
Oman,"11,005",-,-,-,-,-,"1,475","1,935","7,595",-,-,-,-,-,2013
Saudi Arabia,9,-,-,-,-,-,-,9,-,-,-,-,-,-,2013
Syria,"77,738",-,-,-,"20,780",-,-,-,-,"38,620",-,"18,338",-,-,2013
Tunisia,"47,199",-,-,-,"14,467","7,999","2,024","2,155","20,554",-,-,-,-,-,2013
West Bank and Gaza,"437,227",-,-,-,"366,727","70,000",500,-,-,-,-,-,-,-,2013
Yemen,"114,764","8,312","8,345",-,"16,881","5,001","6,098",930,"18,989",-,-,"50,208",-,-,2013
MENA Initiative,"202,531",-,-,-,"202,531",-,-,-,-,-,-,-,-,-,2013
Middle East Multilaterals (MEM),993,-,-,-,993,-,-,-,-,-,-,-,-,-,2013
Middle East Partnership Initiative (MEPI),"67,510",-,-,-,"67,510",-,-,-,-,-,-,-,-,-,2013
Middle East Regional Cooperation (MERC),"4,820",-,-,-,"4,820",-,-,-,-,-,-,-,-,-,2013
Multinational Force and Observers (MFO),"26,593",-,-,-,-,-,-,-,-,"26,593",-,-,-,-,2013
Near East Regional,"1,700",-,-,-,-,-,"1,700",-,-,-,-,-,-,-,2013
Near East Regional Democracy,"30,862",-,-,-,"30,862",-,-,-,-,-,-,-,-,-,2013
Trans-Sahara Counter-Terrorism Partnership,,,,,,,,,,,,,,,2013
(TSCTP),"7,176",-,-,-,"1,447","3,844","1,885",-,-,-,-,-,-,-,2013
USAID Middle East Regional (MER),"17,715",-,-,-,"17,715",-,-,-,-,-,-,-,-,-,2013
South and Central Asia,"3,982,250","125,162","182,032","17,622","2,451,250","657,153","86,053","13,268","290,085",-,-,"159,625",-,-,2013
Afghanistan,"2,292,159",-,-,-,"1,623,145","568,806","52,629","1,424",-,-,-,"46,155",-,-,2013
Bangladesh,"202,402","79,301","74,005",-,-,"2,000","3,214","1,067","2,848",-,-,"39,967",-,-,2013
India,"79,718","15,287","50,910","7,407",-,-,"4,847","1,267",-,-,-,-,-,-,2013
Kazakhstan,"14,033",-,"2,234",-,"6,892","1,801","1,507",744,855,-,-,-,-,-,2013
Kyrgyz Republic,"49,137",-,"4,282",-,"35,731","5,536","2,027",906,655,-,-,-,-,-,2013
Maldives,"3,889","2,866",-,-,-,-,427,216,380,-,-,-,-,-,2013
Nepal,"90,048","21,020","39,056",-,"19,830","4,000",798,977,"2,274",-,-,"2,093",-,-,2013
Pakistan,"1,146,363",-,-,-,"723,327","57,400","10,597","5,000","280,171",-,-,"69,868",-,-,2013
Sri Lanka,"12,714","5,733",-,-,-,720,"3,704",591,424,-,-,"1,542",-,-,2013
Tajikistan,"40,621",-,"7,500",-,"21,365","7,252","3,151",499,854,-,-,-,-,-,2013
Turkmenistan,"5,968",-,-,-,"4,640",550,500,278,-,-,-,-,-,-,2013
Uzbekistan,"11,917",-,"3,045",-,"5,366","1,044",539,299,"1,624",-,-,-,-,-,2013
Central Asia Regional,"28,520",-,"1,000","10,215","8,061","8,044","1,200",-,-,-,-,-,-,-,2013
State South and Central Asia Regional (SCA),"3,806",-,-,-,"2,893",-,913,-,-,-,-,-,-,-,2013
USAID South Asia Regional,955,955,-,-,-,-,-,-,-,-,-,-,-,-,2013
Western Hemisphere,"1,684,470","305,945","78,948","173,496","447,503","550,942","14,992","12,892","59,226",-,-,"40,526",-,-,2013
Argentina,765,-,-,-,-,-,270,495,-,-,-,-,-,-,2013
Belize,"1,012",-,-,-,-,-,-,205,807,-,-,-,-,-,2013
Bolivia,"5,171",-,-,-,-,"4,996",-,175,-,-,-,-,-,-,2013
Brazil,"15,185","11,462",-,881,-,"2,000",270,572,-,-,-,-,-,-,2013
Chile,"1,038",-,-,-,-,-,270,768,-,-,-,-,-,-,2013
Colombia,"359,754",-,-,-,"165,883","152,322","5,050","1,485","28,862",-,-,"6,152",-,-,2013
Costa Rica,"1,624",-,-,-,-,-,-,293,"1,331",-,-,-,-,-,2013
Cuba,"19,283",-,-,-,"19,283",-,-,-,-,-,-,-,-,-,2013
Dominican Republic,"26,407","11,864","6,702","7,122",-,-,-,719,-,-,-,-,-,-,2013
Ecuador,"18,846","13,376",-,-,-,"4,503",200,340,427,-,-,-,-,-,2013
El Salvador,"27,566","21,426",-,-,"3,354",-,-,"1,077","1,709",-,-,-,-,-,2013
Guatemala,"80,779","45,861","16,796",-,-,"4,846",-,688,712,-,-,"11,876",-,-,2013
Guyana,"9,150",-,-,"8,866",-,-,-,284,-,-,-,-,-,-,2013
Haiti,"332,540",-,"25,017","129,865","135,985","17,448",-,208,"1,519",-,-,"22,498",-,-,2013
Honduras,"51,980","44,428","3,578",-,-,-,500,626,"2,848",-,-,-,-,-,2013
Jamaica,"7,061","6,688",-,-,-,-,-,373,-,-,-,-,-,-,2013
Mexico,"265,064","26,224",-,-,"32,067","195,077","3,811","1,239","6,646",-,-,-,-,-,2013
Nicaragua,"8,599","8,599",-,-,-,-,-,-,-,-,-,-,-,-,2013
Panama,"3,449",-,-,-,-,-,135,655,"2,659",-,-,-,-,-,2013
Paraguay,"6,041","4,777",-,-,-,500,-,432,332,-,-,-,-,-,2013
Peru,"98,634","49,140",-,-,"2,834","44,250",-,530,"1,880",-,-,-,-,-,2013
Suriname,213,-,-,-,-,-,-,213,-,-,-,-,-,-,2013
The Bahamas,164,-,-,-,-,-,-,164,-,-,-,-,-,-,2013
Trinidad and Tobago,167,-,-,-,-,-,-,167,-,-,-,-,-,-,2013
Uruguay,427,-,-,-,-,-,-,427,-,-,-,-,-,-,2013
