Country ,Total,DA,GHCS-USAID,GHCS-State,ESF,AEECA,INCLE,NADR,IMET,FMF,PKO,MRA,FFP,Other*,Fiscal Year
TOTAL,"36,351,526","2,520,000","2,470,000","5,359,000","6,569,567","741,632","1,848,000","754,000","108,000","5,470,000","331,500","1,693,000","1,690,000","6,796,827",2010
Africa,"7,064,605","1,078,530","1,145,205","3,633,550","629,604",-,"35,538","48,053","15,232","18,793","187,600",-,"272,500",-,2010
Angola,"84,217","20,192","45,750","10,300",-,-,-,"7,500",475,-,-,-,-,-,2010
Benin,"36,499","5,364","30,900",-,-,-,-,-,235,-,-,-,-,-,2010
Botswana,"77,333",-,-,"76,443",-,-,-,-,690,200,-,-,-,-,2010
Burkina Faso,"21,235",-,"6,000",-,-,-,-,-,235,-,-,-,"15,000",-,2010
Burundi,"40,459","12,124","12,060",-,-,-,-,-,275,-,-,-,"16,000",-,2010
Cameroon,"4,379","1,344","1,500","1,250",-,-,-,-,285,-,-,-,-,-,2010
Cape Verde,723,-,-,-,-,-,603,-,120,-,-,-,-,-,2010
Central African Republic,125,-,-,-,-,-,-,-,125,-,-,-,-,-,2010
Chad,"7,853",473,-,-,-,-,-,-,380,500,-,-,"6,500",-,2010
Comoros,125,-,-,-,-,-,-,-,125,-,-,-,-,-,2010
Cote d'Ivoire,"133,637",-,-,"133,305",-,-,-,300,32,-,-,-,-,-,2010
,,,,,,,,,,,,,,,2010
Democratic Republic of the Congo,"183,085",-,"65,700","19,635","59,100",-,"1,700","1,000",500,"1,450","18,000",-,"16,000",-,2010
Djibouti,"9,418","6,542",396,150,-,-,-,-,330,"2,000",-,-,-,-,2010
Ethiopia,"533,225","80,803","87,200","323,679",-,-,-,-,700,843,-,-,"40,000",-,2010
Gabon,400,-,-,-,-,-,-,-,200,200,-,-,-,-,2010
Ghana,"139,872","72,122","59,100","7,000",-,-,500,-,800,350,-,-,-,-,2010
Guinea,"22,018","14,518","7,500",-,-,-,-,-,-,-,-,-,-,-,2010
Guinea-Bissau,"1,600",-,-,-,-,-,"1,500",-,100,-,-,-,-,-,2010
Kenya,"687,665","76,885","71,550","528,760",-,-,-,"8,500",970,"1,000",-,-,-,-,2010
Lesotho,"28,150",-,"6,400","21,650",-,-,-,-,100,-,-,-,-,-,2010
Liberia,"229,150",-,"34,850",800,"153,000",-,"9,000",-,500,"6,000","10,000",-,"15,000",-,2010
Madagascar,"86,432","10,500","58,400",500,-,-,-,-,32,-,-,-,"17,000",-,2010
